"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"ErbB signaling pathway","21/85",0.0882544473450493,0.476758077536923,0,0,1.46119848713034,3.54710490169611,"CAMK2B;MAP2K4;STAT5B;CAMK2D;JUN;MAP2K2;EGF;CAMK2A;ARAF;MTOR;CRKL;MAPK9;PAK1;NRG4;ERBB4;AKT2;RAF1;MAP2K7;HRAS;SOS2;CAMK2G"
"Folate biosynthesis","8/26",0.088913081984378,0.476758077536923,0,0,1.97774746096711,4.78633870616113,"QDPR;MOCS2;AKR1B10;AKR1B1;PCBD2;MOCS1;GPHN;PTS"
"Arginine biosynthesis","7/22",0.0929906493494111,0.482096342027006,0,0,2.07645026368431,4.93210164419549,"ARG2;ACY1;GOT1;GPT2;GOT2;GPT;NOS1"
"Synthesis and degradation of ketone bodies","4/10",0.0938172577931674,0.482096342027006,0,0,2.9655673662215,7.01773775784165,"HMGCL;BDH1;OXCT1;ACAT1"
"Long-term potentiation","17/67",0.0957382741481383,0.482096342027006,0,0,1.51372538293217,3.55140731284383,"CAMK2B;CAMK2D;MAP2K2;CALML6;CAMK2A;ARAF;PPP1CB;PPP1CC;PPP3CB;PPP3CC;PPP1R1A;CALM3;PRKACA;RAF1;HRAS;CAMK2G;ATF4"
"Fatty acid biosynthesis","6/18",0.0961092386034545,0.482096342027006,0,0,2.22457049359149,5.2105443569972,"MECR;OXSM;HTD2;ACACB;MCAT;CBR4"
"Galactose metabolism","9/31",0.100426975516238,0.495758561675399,0,0,1.82047687574434,4.18404647298911,"B4GALT2;GALT;UGP2;AKR1B10;AKR1B1;PFKM;PGM1;GANC;HK1"
"Proximal tubule bicarbonate reclamation","7/23",0.113435804497052,0.549506915997561,0,0,1.94655278232406,4.23670756035817,"SLC9A3;MDH1;ATP1A4;ATP1B4;ATP1A2;ATP1B1;SLC38A3"
"Protein processing in endoplasmic reticulum","38/171",0.114848712346757,0.549506915997561,0,0,1.27286303792494,2.7546532567679,"PRKN;HSP90AB1;UBXN1;UBE2D4;UBXN2A;SAR1B;UBE2D2;NGLY1;CUL1;UBE2D1;RNF5;SEC61A2;DNAJB2;MAPK9;BAG1;MAP2K7;UBQLN4;SEC31B;UBXN6;SKP1;HSPA8;HSPA1L;AMFR;UBE4B;RAD23A;UBE2G1;HSPA2;UBE2G2;RAD23B;NSFL1C;NPLOC4;DNAJA2;BCL2;PLAA;PREB;STUB1;CRYAB;ATF4"
"Fructose and mannose metabolism","9/33",0.137217437751522,0.646585199101867,0,0,1.66856577510917,3.31408611138729,"PFKFB1;TPI1;AKR1B10;MPI;AKR1B1;ALDOA;PFKM;FBP2;HK1"
