"","gene","log2FoldChange","padj","pvalue","baseMean","stat"
"SNHG25","SNHG25",-0.65005925643761,0.000183482500627501,5.68208428091683e-05,9.04104077709776,-4.02563883820859
"OR2G6","OR2G6",-0.543548729706947,0.000183482500627501,5.68248593294561e-05,14.9410728023113,-4.02562220664098
"ZNF33BP1","ZNF33BP1",-0.907402790487723,0.000184625591554681,5.71937167311102e-05,2.59360175940896,-4.02409957216891
"TSPAN7","TSPAN7",-0.529764016950048,0.000185453872312514,5.74652100124379e-05,3442.38026251973,-4.02298478530545
"SLC13A1","SLC13A1",-1.16953208725408,0.000185730576500365,5.75559265815509e-05,1.33036248475144,-4.02261340289673
"AP003498.2","AP003498.2",-1.66444543915278,0.000186237288391568,5.77229309571486e-05,5.06465249940683,-4.0219311550962
"AC245297.1","AC245297.1",-0.514962515235233,0.000186312320372103,5.77511784793522e-05,635.398338857897,-4.02181594294389
"SPDYC","SPDYC",-1.19325063491671,0.000186349102411571,5.77675726737367e-05,3.41970430196136,-4.02174910100781
"AC063961.1","AC063961.1",-1.30407967247737,0.000188007843377336,5.83019258700878e-05,1.0782179237335,-4.01958022940431
"AC012613.2","AC012613.2",-0.709234689195797,0.000188730872945966,5.85362533885941e-05,3.81383959070394,-4.01863505598808
"ANKRD20A17P","ANKRD20A17P",-0.913755795549266,0.000188752047630206,5.8547878129167e-05,5.63283049576898,-4.01858826027786
"ABCC11","ABCC11",-0.57913194164389,0.000189114283909475,5.86653050157784e-05,8.07390322595371,-4.01811604789486
"IGFL2-AS1","IGFL2-AS1",-0.784082666859046,0.000189199662302386,5.87019288230215e-05,5.15367827742774,-4.01796895455786
"AF111167.1","AF111167.1",-0.562758825471805,0.000189222871374711,5.87141996460768e-05,9.66900094280494,-4.01791969030636
"UCP1","UCP1",-1.39393758729013,0.000191055229970172,5.93134782751757e-05,2.57792899626809,-4.01552552636863
"GABRA3","GABRA3",-1.20639160007807,0.000191309590806614,5.9402696671164e-05,8.524932344101,-4.01517105265633
"RN7SL492P","RN7SL492P",-0.789818915442157,0.000191309590806614,5.93988577566774e-05,6.74743346450239,-4.01518629466898
"PSMA6P2","PSMA6P2",-1.27163158493246,0.00019141598290047,5.9445989277372e-05,1.17897483333204,-4.01499922838762
"PIK3CD-AS2","PIK3CD-AS2",-0.54971663555956,0.000191433817773089,5.94566571718684e-05,30.8944083501204,-4.01495690671836
"SHANK2-AS3","SHANK2-AS3",-0.75593182164901,0.000192301140944505,5.97414926252321e-05,13.1118527630092,-4.01382955850146
"IGFBP7-AS1","IGFBP7-AS1",-0.50335837576367,0.00019248419444541,5.98035184414161e-05,10.286087909177,-4.01358474192364
"CLDN16","CLDN16",-1.06833237731246,0.000192845359877755,5.99208969938731e-05,5.35585527238017,-4.01312210480197
"SNORD114-7","SNORD114-7",-1.46907957533675,0.000193705035223573,6.02139650795461e-05,0.617811901446918,-4.01197073851831
"AC009033.1","AC009033.1",-0.74418741414902,0.00019398828654268,6.03176075162179e-05,6.39604344959531,-4.01156483186406
"AC063980.1","AC063980.1",-0.91356220675172,0.000194304032824058,6.04209898710183e-05,1.86163543165532,-4.01116060119005
"DOCK3","DOCK3",-0.638550947801296,0.000194698552654644,6.05541033468666e-05,33.5943502667933,-4.01064108360802
"AL022326.2","AL022326.2",-0.734436793561275,0.000194829951577021,6.06001904417555e-05,6.5067896649494,-4.01046146607191
"AC017071.1","AC017071.1",-0.661593778777285,0.000195236226055026,6.07366245472564e-05,4.8707563066368,-4.00993049181178
"SERF1A","SERF1A",-0.582291700759596,0.000195236226055026,6.07370206233397e-05,99.1463586766787,-4.00992895200752
"MALRD1","MALRD1",-0.596857279607876,0.000195267710275973,6.07520470413577e-05,11.7305399303731,-4.00987054160996
"INSM1","INSM1",-0.939832216077253,0.000195439167314901,6.0810627495859e-05,13.525845366804,-4.00964295935344
"RN7SL342P","RN7SL342P",-1.1844066019536,0.000196577851125611,6.12070628816207e-05,1.54296035659223,-4.00810826044683
